Title,Text,Author,Source,Label
Did Theresa May Say Pedophiles Should Be Allowed to Adopt Children?,NaN,NaN,Snopes Aggregator,Unreliable
Does Congresswoman Ocasio-Cortez Say ‘Owning Guns is Not a Right’ in the Constitution?,NaN,NaN,Snopes Aggregator,Unreliable
Were Members of a ‘Midget Crime Gang’ Suspected of 55 Break-Ins?,NaN,NaN,Snopes Aggregator,Unreliable
Did the IRS Admit It ‘Encourages Illegals’ to Steal Social Security Numbers for Taxes?,NaN,NaN,Snopes Aggregator,Unreliable
Did Rashida Tlaib and Ilhan Omar Co-Sponsor a Bill to Recognize Muslim Holidays as Federal Holidays?,NaN,NaN,Snopes Aggregator,Unreliable
Does This Photograph Show a Mother Snorting Cocaine with Her Toddler?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Acid or Electricity Cause This Man to Vaporize?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did Retired Soccer Star Mia Hamm Die in January 2019?,NaN,NaN,Snopes Aggregator,Unreliable
Do Steering Wheels Include Braille So Visually Impaired Drivers Can Find the Horn?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Trump Urge Americans to Boycott Chinese Restaurants?,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Do Motorists Now Face $999 Fines and 3-Year Suspensions for Using Cellphones While Driving?,NaN,NaN,Snopes Aggregator,Unreliable
Does a Muslim Community Patrol in New York City Enforce ‘Sharia Law’?,NaN,NaN,Snopes Aggregator,Unreliable
Was Nancy Pelosi Removed from a Children’s Cancer Benefit for Being Drunk?,NaN,NaN,Snopes Aggregator,Unreliable
Was Mike Pence Kicked Out of Iceland?,NaN,NaN,Snopes Aggregator,Unreliable
Did the U.S. Supreme Court Rule That Oaths Not Taken on the Bible Are ‘Illegal’?,NaN,NaN,Snopes Aggregator,Unreliable
Did the Trump Family Donate $1 Billion to Fund the Border Wall?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Priest Need Surgery to Remove a Crucifix from His Rectum?,NaN,NaN,Snopes Aggregator,Unreliable
Were All Speed Limit Cameras on Two Major English Roads Set to 72 MPH in January 2019?,NaN,NaN,Snopes Aggregator,Unreliable
Did Rashida Tlaib Tweet About America ‘Raping and Pillaging’ Her People?,NaN,NaN,Snopes Aggregator,Unreliable
Did Ronald Reagan Try for Eight Years to Build a Border Wall?,NaN,NaN,Snopes Aggregator,Unreliable
Did a Producer Claim Kevin Spacey ‘Drugged and Raped’ Justin Bieber?,NaN,NaN,Snopes Aggregator,Unreliable
Were 10,NaN,NaN,Snopes Aggregator,Unreliable
Is ‘Baron Trump’s Marvelous Underground Journey’ a Real Book from the 1890s?,NaN,NaN,Snopes Aggregator,Unreliable
Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?,NaN,NaN,Snopes Aggregator,Unreliable
Did President Obama Once Spend $65,NaN,NaN,Snopes Aggregator,Unreliable
Did Congress ‘Set Aside’ $50 Billion in 2006 for the Construction of Border Fencing?,NaN,NaN,Snopes Aggregator,Unreliable
Can Federal Government Workers Be Fired After 30 Days of Shutdown?,NaN,NaN,Snopes Aggregator,Unreliable
Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,NaN,NaN,Snopes Aggregator,Unreliable
‘Got Another Friend Request from You’ Facebook Warning,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford with Bill Clinton?,NaN,NaN,Snopes Aggregator,Unreliable
Is This a Photograph of Christine Blasey Ford Partying?,NaN,NaN,Snopes Aggregator,Unreliable
Did Judge Martha Kavanaugh ‘Rule Against’ the Parents of Her Son’s Accuser,NaN,NaN,Snopes Aggregator,Unreliable
Did Ted Nugent Announce a ‘Build the Wall’ Benefit Concert?,NaN,NaN,Snopes Aggregator,Unreliable
